No,Level,Date,Time,Text
1,INFO,8:51:01 AM,22 March 2020,"main: *************** RSVP Agent started ***************"
2,INFO,8:51:01 AM,22 March 2020,"main: *************** RSVP Agent started ***************"
3,INFO,8:51:01 AM,22 March 2020,"..locate_configFile: Specified configuration file: /u/user10/rsvpd1.conf"
4,DEBUG,8:51:01 AM,22 March 2020,"main: Using log level 511"
5,ERROR,8:51:01 AM,22 March 2020,".settcpimage: Get TCP images rc - EDC8112I Operation not supported on socket."
6,INFO,8:51:01 AM,22 March 2020,".settcpimage: Associate with TCP/IP image name = TCPCS"
7,INFO,8:51:02 AM,22 March 2020,".reg_process: registering process with the system"
8,INFO,8:51:02 AM,22 March 2020,".reg_process: attempt OS/390 registration"
9,INFO,8:51:02 AM,22 March 2020,".reg_process: return from registration rc=0"
10,TRACE,8:51:06 AM,22 March 2020,"..read_physical_netif: Home list entries returned = 7"
11,DEBUG,8:51:06 AM,22 March 2020,"..read_physical_netif: index #0, interface VLINK1 has address 129.1.1.1, ifidx 0"
12,INFO,8:51:06 AM,22 March 2020,"..read_physical_netif: index #1, interface TR1 has address 9.37.65.139, ifidx 1"
13,INFO,8:51:06 AM,22 March 2020,"..read_physical_netif: index #2, interface LINK11 has address 9.67.100.1, ifidx 2"
14,INFO,8:51:06 AM,22 March 2020,"..read_physical_netif: index #3, interface LINK12 has address 9.67.101.1, ifidx 3"
15,INFO,8:51:06 AM,22 March 2020,"..read_physical_netif: index #4, interface CTCD0 has address 9.67.116.98, ifidx 4"
16,INFO,8:51:06 AM,22 March 2020,"..read_physical_netif: index #5, interface CTCD2 has address 9.67.117.98, ifidx 5"
17,INFO,8:51:06 AM,22 March 2020,"..read_physical_netif: index #6, interface LOOPBACK has address 127.0.0.1, ifidx 0"
18,DEBUG,8:51:06 AM,22 March 2020,"...mailslot_create: creating mailslot for timer"
19,INFO,8:51:06 AM,22 March 2020,"..mailbox_register: mailbox allocated for timer"
20,INFO,8:51:06 AM,22 March 2020,"....mailslot_create: creating mailslot for RSVP"
21,INFO,8:51:06 AM,22 March 2020,"...mailbox_register: mailbox allocated for rsvp"
22,INFO,8:51:06 AM,22 March 2020,"....mailslot_create: creating mailslot for RSVP via UDP"
23,WARN,8:51:06 AM,22 March 2020,"....mailslot_create: setsockopt(MCAST_ADD) failed - EDC8116I Address not available."
24,INFO,8:51:06 AM,22 March 2020,"...mailbox_register: mailbox allocated for rsvp-udp"
25,TRACE,8:51:06 AM,22 March 2020,".entity_initialize: interface 129.1.1.1, entity for rsvp allocated and initialized"
26,INFO,8:51:06 AM,22 March 2020,"....mailslot_create: creating mailslot for RSVP"
27,INFO,8:51:06 AM,22 March 2020,"...mailbox_register: mailbox allocated for rsvp"
28,INFO,8:51:06 AM,22 March 2020,"....mailslot_create: creating mailslot for RSVP via UDP"
29,WARN,8:51:06 AM,22 March 2020,"....mailslot_create: setsockopt(MCAST_ADD) failed - EDC8116I Address not available."
30,INFO,8:51:06 AM,22 March 2020,"...mailbox_register: mailbox allocated for rsvp-udp"
31,TRACE,8:51:06 AM,22 March 2020,".entity_initialize: interface 9.37.65.139, entity for rsvp allocated and"
32,INFO,8:51:06 AM,22 March 2020,"....mailslot_create: creating mailslot for RSVP"
33,INFO,8:51:06 AM,22 March 2020,"...mailbox_register: mailbox allocated for rsvp"
34,DEBUG,8:51:06 AM,22 March 2020,"....mailslot_create: creating mailslot for RSVP via UDP"
35,WARN,8:51:06 AM,22 March 2020,"....mailslot_create: setsockopt(MCAST_ADD) failed - EDC8116I Address not available."
36,ERROR,8:51:06 AM,22 March 2020,"...mailbox_register: mailbox allocated for rsvp-udp"
37,TRACE,8:51:06 AM,22 March 2020,".entity_initialize: interface 9.67.100.1, entity for rsvp allocated and initialized"
38,INFO,8:51:06 AM,22 March 2020,"....mailslot_create: creating mailslot for RSVP"
39,INFO,8:51:06 AM,22 March 2020,"...mailbox_register: mailbox allocated for rsvp"
40,INFO,8:51:06 AM,22 March 2020,"....mailslot_create: creating mailslot for RSVP via UDP"
41,WARN,8:51:06 AM,22 March 2020,"....mailslot_create: setsockopt(MCAST_ADD) failed - EDC8116I Address not available."
42,INFO,8:51:06 AM,22 March 2020,"...mailbox_register: mailbox allocated for rsvp-udp"
43,TRACE,8:51:06 AM,22 March 2020,".entity_initialize: interface 9.67.101.1, entity for rsvp allocated and initialized"
44,DEBUG,8:51:06 AM,22 March 2020,"....mailslot_create: creating mailslot for RSVP"
45,ERROR,8:51:06 AM,22 March 2020,"...mailbox_register: mailbox allocated for rsvp"
46,INFO,8:51:06 AM,22 March 2020,"....mailslot_create: creating mailslot for RSVP via UDP"
47,ERROR,8:51:06 AM,22 March 2020,"...mailbox_register: mailbox allocated for rsvp-udp"
48,TRACE,8:51:06 AM,22 March 2020,".entity_initialize: interface 9.67.116.98, entity for rsvp allocated and"
49,INFO,8:51:06 AM,22 March 2020,"....mailslot_create: creating mailslot for RSVP"
50,INFO,8:51:06 AM,22 March 2020,"...mailbox_register: mailbox allocated for rsvp"
51,INFO,8:51:06 AM,22 March 2020,"....mailslot_create: creating mailslot for RSVP via UDP"
52,ERROR,8:51:06 AM,22 March 2020,"...mailbox_register: mailbox allocated for rsvp-udp"
53,TRACE,8:51:06 AM,22 March 2020,".entity_initialize: interface 9.67.117.98, entity for rsvp allocated and"
54,INFO,8:51:06 AM,22 March 2020,"....mailslot_create: creating mailslot for RSVP"
55,INFO,8:51:06 AM,22 March 2020,"...mailbox_register: mailbox allocated for rsvp"
56,INFO,8:51:06 AM,22 March 2020,"....mailslot_create: creating mailslot for RSVP via UDP"
57,INFO,8:51:06 AM,22 March 2020,"...mailbox_register: mailbox allocated for rsvp-udp"
58,TRACE,8:51:06 AM,22 March 2020,".entity_initialize: interface 127.0.0.1, entity for rsvp allocated and initialized"
59,DEBUG,8:51:06 AM,22 March 2020,".....mailslot_create: creating socket for querying route"
60,INFO,8:51:06 AM,22 March 2020,"....mailbox_register: no mailbox necessary for forward"
61,INFO,8:51:06 AM,22 March 2020,".....mailslot_create: creating mailslot for route engine - informational socket"
62,TRACE,8:51:06 AM,22 March 2020,".....mailslot_create: ready to accept informational socket connection"
63,INFO,8:51:11 AM,22 March 2020,"....mailbox_register: mailbox allocated for route"
64,INFO,8:51:11 AM,22 March 2020,"....mailslot_create: creating socket for traffic control module"
65,INFO,8:51:11 AM,22 March 2020,"...mailbox_register: no mailbox necessary for traffic-control"
66,DEBUG,8:51:11 AM,22 March 2020,"...mailslot_create: creating mailslot for RSVP client API"
67,DEBUG,8:51:11 AM,22 March 2020,"..mailbox_register: mailbox allocated for rsvp-api"
68,DEBUG,8:51:11 AM,22 March 2020,"..mailslot_create: creating mailslot for terminate"
69,INFO,8:51:11 AM,22 March 2020,".mailbox_register: mailbox allocated for terminate"
